timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-02-27 14:00:20,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,1.0,1.0,0.9,0.1,1.0,0.7,0.8,5.0,1.0,1.0,0.3,0.75,0.05,0.24253120006246762,5.05,48.3,9.659999999999993,0.5671569954180953,3.143770162947476
2026-02-27 14:00:25,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,1.0,1.0,0.9,0.1,1.0,0.7,0.8,5.0,2.0,1.0,0.3,0.75,0.1,0.21457611158170664,4.9,42.0,8.399999999999997,0.6287973004667211,2.9423082689754665
2026-02-27 14:00:29,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,1.0,1.0,0.9,0.1,1.0,0.7,0.8,6.0,1.0,1.0,0.3,0.8,0.05,0.22243056132735478,6.75,44.0,8.799999999999997,0.5290977994286781,2.9540916790720075
2026-02-27 14:00:34,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,1.0,1.0,0.9,0.1,1.0,0.7,0.8,6.0,2.0,1.0,0.3,0.8,0.1,0.23265845334726137,3.6,39.75,7.95,0.6284536750020804,2.830095001962036
2026-02-27 14:00:38,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,1.0,1.0,0.95,0.1,1.0,0.7,0.8,5.0,1.0,1.0,0.3,0.8,0.1,0.2876184937114772,3.25,42.75,8.549999999999995,0.6688824264640358,2.898175326990895
2026-02-27 14:00:43,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,1.0,1.0,0.95,0.1,1.0,0.7,0.8,5.0,2.0,1.0,0.3,0.85,0.0,0.2962633420068129,3.75,46.9,9.379999999999994,0.4125812031519026,3.3316885189851746
2026-02-27 14:00:48,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,1.0,1.0,0.95,0.1,1.0,0.7,0.8,6.0,1.0,1.0,0.3,0.7,0.1,0.26660550607103356,5.35,48.3,9.659999999999993,0.6885705676048086,3.201255058986135
2026-02-27 14:00:53,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,1.0,1.0,0.95,0.1,1.0,0.7,0.8,6.0,2.0,1.0,0.3,0.8,0.0,0.3345947804102596,3.05,50.45,10.089999999999993,0.5271024574883423,3.69775994902011
