timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-02 00:31:30,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,1.5,0.2,0.0,0.65,0.0,0.2996035242889644,5.55,0.35,81.25,8.124999999999986,0.8931364457192515,7.740966510000362
2026-03-02 00:31:42,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,1.5,0.2,0.0,0.35,0.1,0.1956962752689483,8.35,0.65,82.75,8.274999999999986,1.6034374584288849,9.84555891400123
2026-03-02 00:31:50,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,1.5,0.2,0.0,0.75,0.0,0.4197733956235431,3.5,0.35,66.85,6.684999999999993,0.5662861214052638,6.246296691999305
2026-03-02 00:32:00,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,1.5,0.2,0.0,0.45,0.15,0.2722029502290117,3.4,0.5,77.9,7.789999999999988,1.2614474820569452,8.78948811400005
2026-03-02 00:32:10,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,2.0,0.2,0.0,0.55,0.0,0.3173155799182237,4.35,0.3,82.0,8.199999999999985,0.9421032708485644,8.026267257000654
2026-03-02 00:32:22,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,2.0,0.2,0.0,0.4,0.05,0.262656944324297,5.65,0.35,86.65,8.664999999999981,1.3386627279262182,10.680902985999637
2026-03-02 00:32:30,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,2.0,0.2,0.0,0.75,0.0,0.42260109986566263,3.8,0.25,73.4,7.339999999999989,0.605713261950372,6.862216654999429
2026-03-02 00:32:41,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,2.0,0.2,0.0,0.5,0.1,0.299475394594227,3.3,0.4,80.6,8.059999999999986,0.8451070559329936,8.959168594999937
2026-03-02 00:32:50,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,2.5,0.2,0.0,0.55,0.0,0.3198593563980477,4.45,0.35,82.05,8.204999999999986,0.8972794170608133,8.015586031000566
2026-03-02 00:33:02,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,2.5,0.2,0.0,0.4,0.05,0.26264767328110844,5.7,0.35,86.6,8.659999999999982,1.340010563988597,10.60081065399936
2026-03-02 00:33:11,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,2.5,0.2,0.0,0.75,0.0,0.42260109986566263,3.8,0.25,73.4,7.339999999999989,0.605713261950372,6.753817889000857
