timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-01 23:25:22,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,0.9,0.01,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.8,0.2,0.08426171484116032,10.0,0.85,47.35,4.734999999999998,0.6623584989390803,4.314368778001153
2026-03-01 23:25:29,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,0.95,0.01,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.8,0.15,0.08567630065132643,11.5,0.95,53.2,5.319999999999996,0.6053076632427472,5.018701032000536
2026-03-01 23:25:36,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,0.98,0.01,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.1,0.10369759259212752,11.25,1.05,56.65,5.664999999999995,0.5076666113405106,5.385478255000635
2026-03-01 23:25:43,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.01,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.1,0.1067903666630472,10.45,0.95,56.35,5.634999999999995,0.5021432565809751,5.406155096001385
2026-03-01 23:25:49,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.01,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.1,0.11087077873409794,10.3,0.95,56.3,5.629999999999995,0.5021432565809751,5.401761078001073
2026-03-01 23:25:55,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,0.9,0.05,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.8,0.2,0.09730429769267232,9.45,0.85,47.0,4.699999999999998,0.6745175871693696,4.337934626000788
2026-03-01 23:26:02,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,0.95,0.05,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.1,0.13006404304329516,10.7,0.85,55.6,5.559999999999996,0.5187097626954976,5.2414249970006495
2026-03-01 23:26:09,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,0.98,0.05,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.1,0.168864278691772,9.9,0.85,56.4,5.639999999999995,0.527305689562765,5.435868738000863
2026-03-01 23:26:16,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.1,0.2005907461153375,7.45,0.7,58.3,5.829999999999996,0.5140838250962887,5.6477442999985215
2026-03-01 23:26:23,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.05,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.1,0.217766942649774,7.4,0.7,56.9,5.689999999999996,0.5195707682748191,5.558091667000554
