timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-01 22:47:34,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,4.0,0.3,0.2,0.0,0.85,0.1,0.2610450850510391,8.15,0.75,55.1,5.509999999999996,0.5083151368636145,5.3924251119988185
2026-03-01 22:47:41,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,4.0,0.3,0.2,0.1,0.85,0.15,0.2534544965203304,8.45,0.75,52.7,5.269999999999997,0.5830442841279073,5.088536662999104
2026-03-01 22:47:48,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,4.0,0.3,0.2,0.0,0.85,0.1,0.2610450850510391,8.15,0.75,55.1,5.509999999999996,0.5083151368636145,5.338684289001321
2026-03-01 22:47:55,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,4.0,0.3,0.2,-0.1,0.85,0.1,0.2869885100937434,7.6,0.7,56.95,5.694999999999996,0.5372494170069654,5.581064611000329
