timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-01 23:43:18,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.9,0.05,0.2894728417789358,7.55,0.7,57.9,5.789999999999996,0.39981450187057677,5.6959734659994865
2026-03-01 23:43:25,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,4.0,6.0,6.0,0.9,0.2,0.0,0.9,0.05,0.28506491024926073,8.25,0.7,57.4,5.739999999999996,0.3924176875901984,5.610069870001098
2026-03-01 23:43:33,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.9,0.05,0.2894728417789358,7.55,0.7,57.9,5.789999999999996,0.39981450187057677,5.731502979999277
2026-03-01 23:43:40,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,6.0,6.0,6.0,0.9,0.2,0.0,0.85,0.05,0.2961400581602124,7.55,0.7,59.75,5.974999999999995,0.4554110410890452,5.875218098000914
2026-03-01 23:43:47,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,7.0,6.0,6.0,0.9,0.2,0.0,0.85,0.05,0.29767618178852523,7.55,0.7,59.8,5.979999999999995,0.4597642800738743,5.886900591000085
