timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-02 02:19:31,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,1.0,1.0,0.2,0.0,0.7,0.0,0.4370076600943973,3.5,0.2,89.9,8.989999999999984,0.7295952045357602,4.717993733000185
2026-03-02 02:19:37,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,1.0,2.0,0.2,0.0,0.8,0.0,0.4285501184411233,3.1,0.2,90.0,8.999999999999984,0.5341623834425506,4.548162144001253
2026-03-02 02:19:43,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,1.0,3.0,0.2,0.0,0.8,0.0,0.4285501184411233,3.1,0.2,90.0,8.999999999999984,0.5341623834425506,4.530773033999139
2026-03-02 02:19:49,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,1.0,4.0,0.2,0.0,0.8,0.0,0.4285501184411233,3.1,0.2,90.0,8.999999999999984,0.5341623834425506,4.566357453000819
2026-03-02 02:19:56,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,2.0,1.0,0.2,0.0,0.7,0.0,0.42012087311434054,3.6,0.2,90.3,9.029999999999983,0.6739703470090025,5.05391738400067
2026-03-02 02:20:02,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,2.0,2.0,0.2,0.0,0.8,0.0,0.4285501184411233,3.1,0.2,90.0,8.999999999999984,0.5341623834425506,4.5504525959986495
2026-03-02 02:20:08,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,2.0,3.0,0.2,0.0,0.8,0.0,0.4285501184411233,3.1,0.2,90.0,8.999999999999984,0.5341623834425506,4.564813777000381
2026-03-02 02:20:14,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,2.0,4.0,0.2,0.0,0.8,0.0,0.4285501184411233,3.1,0.2,90.0,8.999999999999984,0.5341623834425506,4.605248519997986
2026-03-02 02:20:20,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,3.0,1.0,0.2,0.0,0.8,0.0,0.4266887815031746,3.4,0.2,90.0,8.999999999999982,0.5617808988903461,4.610486457997467
2026-03-02 02:20:26,10,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 0.5 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,5.0,3.0,2.0,0.2,0.0,0.8,0.0,0.4285501184411233,3.1,0.2,90.0,8.999999999999984,0.5341623834425506,4.533569916002307
