timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-01 22:07:11,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,0.5,0.3,0.4,0.2,0.13533600192765904,9.15,1.1,70.8,7.079999999999989,1.30732715922038,6.66989923500023
2026-03-01 22:07:19,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,0.5,0.3,0.45,0.15,0.14425864973910382,8.95,0.85,69.05,6.904999999999991,1.1680287981522117,6.50081711599978
2026-03-01 22:07:27,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,0.5,0.3,0.5,0.15,0.1081419535277175,11.3,0.9,68.55,6.8549999999999915,1.2106147210907192,6.57311465299972
2026-03-01 22:07:35,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,1.0,0.3,0.45,0.2,0.15389385402822395,8.05,0.85,66.3,6.629999999999991,1.1070313828435265,6.481141481999657
2026-03-01 22:07:43,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,1.0,0.3,0.55,0.2,0.19451112682618946,7.85,0.8,62.15,6.214999999999994,0.9006341006344355,6.198796568000034
2026-03-01 22:07:50,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,1.0,0.3,0.5,0.2,0.163922933657258,8.6,0.85,64.75,6.474999999999992,1.1509657773493902,6.100780352000584
2026-03-01 22:07:57,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,2.0,0.3,0.8,0.2,0.19512467915142048,7.0,0.7,51.75,5.174999999999997,0.6981285556639838,5.219321902000047
2026-03-01 22:08:04,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,2.0,0.3,0.8,0.2,0.19969490403029638,7.0,0.7,51.6,5.159999999999997,0.6932118405827186,5.176169116999517
2026-03-01 22:08:11,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.0,0.05,1.0,0.7,0.8,5.0,6.0,2.0,0.3,0.65,0.2,0.1956853875057867,7.15,0.7,57.8,5.779999999999996,0.8419971405236113,5.636757134000618
