timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-01 23:39:47,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.3,0.4,5.0,6.0,6.0,0.9,0.2,0.0,0.65,0.35,0.02560853069949538,12.5,1.1,36.8,3.6800000000000006,0.9492970556719641,3.1380927829995926
2026-03-01 23:39:52,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.3,0.6,5.0,6.0,6.0,0.9,0.2,0.0,0.7,0.3,0.02662804245194388,13.05,1.1,39.35,3.9349999999999987,0.8368635386471555,3.4096058550003363
2026-03-01 23:39:57,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.3,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.7,0.3,0.026448514432747466,13.15,1.1,40.35,4.034999999999999,0.8326142451605835,3.4619257359991025
2026-03-01 23:40:03,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.3,0.95,5.0,6.0,6.0,0.9,0.2,0.0,0.75,0.25,0.10948781705716151,12.0,0.95,45.4,4.539999999999997,0.740373634132292,4.0727692149994255
2026-03-01 23:40:08,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.5,0.4,5.0,6.0,6.0,0.9,0.2,0.0,0.8,0.2,0.08675454089751859,12.45,1.0,45.25,4.524999999999999,0.6595910573650385,4.124096525998539
2026-03-01 23:40:14,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.5,0.6,5.0,6.0,6.0,0.9,0.2,0.0,0.8,0.2,0.12452427325355771,11.85,0.95,46.65,4.664999999999997,0.6119652427155045,4.258362431000933
2026-03-01 23:40:20,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.5,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.8,0.2,0.15828141330678466,10.75,0.9,49.9,4.989999999999997,0.6067992814673899,4.6297749589994055
2026-03-01 23:40:27,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.5,0.95,5.0,6.0,6.0,0.9,0.2,0.0,0.8,0.15,0.16994723215123592,12.1,0.9,56.2,5.619999999999996,0.5939990114435492,5.417489510999076
2026-03-01 23:40:34,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.4,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.15,0.18530684291278451,7.75,0.65,50.75,5.074999999999997,0.5864909724672132,4.878194918999725
2026-03-01 23:40:40,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.6,5.0,6.0,6.0,0.9,0.2,0.0,0.85,0.1,0.23053073433631305,7.25,0.7,54.3,5.429999999999996,0.5157496850187198,5.223761036000724
2026-03-01 23:40:48,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,0.9,0.2,0.0,0.9,0.05,0.2894728417789358,7.55,0.7,57.9,5.789999999999996,0.39981450187057677,5.6432032020002225
2026-03-01 23:40:56,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.95,5.0,6.0,6.0,0.9,0.2,0.0,0.8,0.05,0.2942979999088476,7.55,0.7,65.05,6.504999999999993,0.59548706692222,6.63632809199953
