timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-02 00:09:43,20,vla,True,True,0.7854,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,1.0,0.0,0.28637737769740734,8.4,0.6,51.15,5.1149999999999975,0.25345930720503745,3.1000929860001634
2026-03-02 00:09:53,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,0.4,0.05,0.31498187179264314,4.15,0.35,82.45,8.244999999999985,1.2228393969014515,8.021310021000318
2026-03-02 00:10:04,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,0.35,0.15,0.2106000461953506,4.9,0.5,78.45,7.844999999999986,1.6799699888793462,9.053726315998574
2026-03-02 00:10:09,20,vla,True,True,1.5708,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,0.95,0.0,0.3992618038541007,4.05,0.35,58.05,5.804999999999996,0.3155105733501554,4.215715063999596
2026-03-02 00:10:17,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,0.7,0.15,0.2674788188142567,6.65,0.7,59.65,5.9649999999999945,0.7234037348244999,5.9825178400005825
2026-03-02 00:10:27,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,0.45,0.2,0.19374826495983774,7.4,0.7,70.65,7.064999999999989,1.1609282550241833,8.27177771300012
2026-03-02 00:10:32,20,vla,True,True,2.3562,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,1.0,0.0,0.44899411178403426,3.9,0.35,53.7,5.369999999999996,0.2789451050961017,3.5631285309991654
2026-03-02 00:10:39,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,0.7,0.05,0.34541533554952836,3.85,0.4,67.05,6.704999999999993,0.6879721961728229,6.001694839000265
2026-03-02 00:10:50,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,3.0,0.9,0.2,0.0,0.45,0.05,0.25333960483411866,5.7,0.5,82.5,8.249999999999986,1.0491160917584916,9.272044440000172
2026-03-02 00:10:55,20,vla,True,True,0.7854,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,1.0,0.0,0.2902283551419706,8.55,0.6,52.25,5.224999999999996,0.2618483890503449,3.130865532999451
2026-03-02 00:11:04,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,0.5,0.0,0.3238310005980305,4.25,0.3,82.15,8.214999999999986,1.0373198970529958,8.044589527000426
2026-03-02 00:11:17,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,0.25,0.05,0.22941715033050403,7.9,0.45,91.4,9.139999999999983,1.5637914721428918,11.094008582000242
2026-03-02 00:11:23,20,vla,True,True,1.5708,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,1.0,0.0,0.39901543636918374,4.1,0.35,54.3,5.429999999999997,0.24575855677603534,3.891237980000369
2026-03-02 00:11:30,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,0.9,0.05,0.28191568505368036,7.55,0.7,58.45,5.844999999999995,0.3933348439262101,5.714445658999466
2026-03-02 00:11:39,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,0.65,0.2,0.16516131397694853,8.15,0.7,62.05,6.204999999999993,0.8464192708201645,7.587191315999007
2026-03-02 00:11:44,20,vla,True,True,2.3562,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,0.9,0.0,0.4644674035727765,3.9,0.35,58.95,5.894999999999995,0.4163714237258712,3.91723692999949
2026-03-02 00:11:53,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,0.7,0.0,0.39943771944200446,4.1,0.3,73.35,7.334999999999991,0.6508426774631654,6.797454791001655
2026-03-02 00:12:03,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,5.0,0.9,0.2,0.0,0.55,0.05,0.2891458874277777,3.8,0.45,81.55,8.154999999999987,0.7479114615762573,9.002764610000668
2026-03-02 00:12:08,20,vla,True,True,0.7854,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,1.0,0.0,0.29248801961555504,8.5,0.6,52.25,5.224999999999997,0.261562408540797,3.1670081410011335
2026-03-02 00:12:18,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,0.55,0.0,0.3188477284923936,4.45,0.35,82.0,8.199999999999985,0.9050534885449701,8.033252436000112
2026-03-02 00:12:30,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,0.3,0.05,0.26085342657130606,5.6,0.3,88.8,8.879999999999983,1.4884075245526174,11.018657165999684
2026-03-02 00:12:36,20,vla,True,True,1.5708,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,1.0,0.0,0.40023818520852467,4.1,0.35,54.3,5.429999999999998,0.24614088542301898,3.8542883430000074
2026-03-02 00:12:43,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,0.9,0.05,0.27182297155778884,7.5,0.7,61.25,6.124999999999995,0.4034064017964168,6.022743556000933
2026-03-02 00:12:52,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,0.6,0.25,0.169886304502308,7.75,0.75,60.75,6.074999999999993,0.9674076736907402,7.356450345001576
2026-03-02 00:12:57,20,vla,True,True,2.3562,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,0.9,0.0,0.4652291115061023,3.9,0.35,58.75,5.874999999999996,0.42647145301906575,3.9102748639998026
2026-03-02 00:13:06,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,0.7,0.05,0.40029200751043437,3.9,0.3,71.2,7.11999999999999,0.7135694608517605,6.599005998999928
2026-03-02 00:13:16,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,7.0,0.9,0.2,0.0,0.5,0.1,0.28569679815064875,3.7,0.45,79.5,7.949999999999989,0.8655120178091783,8.873850649000815
