timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,traj_step_size,vx_min,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_near_miss,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-03-02 00:25:57,20,vla,True,True,2.3562,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.3,0.2,0.0,0.9,0.0,0.46417888418393594,3.85,0.35,58.8,5.8799999999999955,0.4169167757511817,3.9186647269998502
2026-03-02 00:26:05,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.3,0.2,0.0,0.7,0.0,0.4072739394526371,4.0,0.3,72.75,7.2749999999999915,0.6136097817224785,6.639157063998937
2026-03-02 00:26:16,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.3,0.2,0.0,0.5,0.05,0.28358239458092543,3.75,0.4,82.5,8.249999999999986,0.8048035433596542,9.010754325001471
2026-03-02 00:26:20,20,vla,True,True,0.7854,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,1.0,0.0,0.2846923527750854,8.4,0.6,51.7,5.169999999999997,0.2622844006827537,3.116558003999671
2026-03-02 00:26:30,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,0.45,0.0,0.33915319801743965,4.55,0.35,85.0,8.499999999999984,1.0057787742261874,8.307597107999754
2026-03-02 00:26:43,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,0.25,0.05,0.2584399881756729,6.1,0.4,90.45,9.044999999999982,1.5390274108515187,10.984572539999135
2026-03-02 00:26:48,20,vla,True,True,1.5708,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,1.0,0.0,0.3714311484082343,4.1,0.35,52.6,5.259999999999997,0.24119829883004362,3.7698673869999766
2026-03-02 00:26:56,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,0.8,0.05,0.2811027976888802,7.6,0.7,62.5,6.249999999999994,0.5392433655430063,6.002266542998768
2026-03-02 00:27:05,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,0.55,0.25,0.15371513481794302,7.65,0.8,62.5,6.249999999999992,0.9725462180674528,7.4610888740007795
2026-03-02 00:27:10,20,vla,True,True,2.3562,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,0.9,0.0,0.46568448829811687,3.85,0.35,58.9,5.889999999999995,0.41683413383933143,3.919927730001291
2026-03-02 00:27:18,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,0.65,0.0,0.4026935100361369,3.6,0.3,73.5,7.34999999999999,0.6541632340826211,6.7248291529995186
2026-03-02 00:27:29,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,1.5,0.2,0.0,0.5,0.05,0.26442484289440366,4.0,0.4,83.1,8.309999999999986,0.857078215064685,9.10849462799888
2026-03-02 00:27:34,20,vla,True,True,0.7854,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,1.0,0.0,0.2937068588336616,8.15,0.6,51.45,5.144999999999997,0.26293204908025924,3.120143801001177
2026-03-02 00:27:43,20,vla,True,True,0.7854,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,0.5,0.0,0.307862960152252,4.4,0.35,83.25,8.324999999999985,1.1114707815094318,8.200852467000004
2026-03-02 00:27:56,20,vla,True,True,0.7854,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,0.4,0.05,0.2534264877071045,5.65,0.4,88.0,8.799999999999983,1.4809617693457313,10.707972014000916
2026-03-02 00:28:01,20,vla,True,True,1.5708,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,1.0,0.0,0.39040404297598613,4.1,0.35,53.1,5.309999999999997,0.24381799935076964,3.7642668720000074
2026-03-02 00:28:09,20,vla,True,True,1.5708,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,0.7,0.05,0.25010069337455737,7.5,0.7,67.6,6.759999999999993,0.689896765997734,6.884095064000576
2026-03-02 00:28:19,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,0.6,0.2,0.19734344505009652,6.9,0.75,66.4,6.639999999999992,0.9902565707353231,8.075556633000815
2026-03-02 00:28:24,20,vla,True,True,2.3562,1,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,0.95,0.0,0.45604130163893697,3.8,0.35,56.0,5.599999999999996,0.33924728320232067,3.765295582001272
2026-03-02 00:28:33,20,vla,True,True,2.3562,2,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,0.75,0.0,0.4501320901754814,3.35,0.25,72.9,7.289999999999989,0.6109886724767196,6.693174181000359
2026-03-02 00:28:43,20,vla,True,True,2.3562,3,1.0,orca,move to the handbag at speed of 1.0 m/s,0.75,1.0,1.01,0.1,1.0,0.7,0.8,5.0,6.0,6.0,2.0,0.2,0.0,0.5,0.1,0.2975590576989916,3.05,0.35,79.8,7.979999999999987,0.9364880340150703,8.739399611000408
