timestamp,num_episodes,robot_policy,socialnav_enabled,human_traj_pred,robot_theta,human_num,human_v_pref,human_policy,mission_instruction,safety_sigma,safety_h,safety_gamma,safety_sigma_spread,safety_h_traj_scale,shield_thresh_on,shield_thresh_off,vx_sfm_gain,human_pred_s,traj_gradient_gain,traj_goal_gain,success_rate,collision_rate,avg_min_distance,avg_danger_count,avg_steps,avg_sim_time,avg_goal_dist,wall_time
2026-02-26 17:53:15,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.95,3.0,5.0,1.0,0.3,0.75,0.15,0.233293972211239,3.05,57.0,11.399999999999988,0.754118886394023,6.2771022959495895
2026-02-26 17:53:21,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,1.0,5.0,1.0,0.3,0.85,0.15,0.10778850586231552,8.0,46.75,9.349999999999998,0.45131415453608303,4.725217488012277
2026-02-26 17:53:28,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,2.0,5.0,1.0,0.3,0.75,0.25,0.13216136001428427,4.75,49.0,9.799999999999994,0.7403132269280994,5.369898667966481
2026-02-26 17:53:36,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.65,0.2,0.2030635836741677,3.1,53.55,10.70999999999999,0.8064394995348708,5.938116026984062
2026-02-26 17:53:45,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,5.0,5.0,1.0,0.3,0.8,0.1,0.32615928298466124,1.4,66.2,13.239999999999984,0.5706046756495476,7.511711817001924
2026-02-26 17:53:57,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,8.0,5.0,1.0,0.3,0.25,0.05,0.4085883199753382,1.4,86.25,17.24999999999997,1.7881481128270695,10.649259142985102
2026-02-26 17:54:04,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,1.0,1.0,0.3,0.9,0.05,0.3406540332488215,2.1,60.65,12.129999999999987,0.42431920643425947,4.808382230985444
2026-02-26 17:54:11,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,2.0,1.0,0.3,0.85,0.05,0.34736033711250186,2.5,66.35,13.269999999999985,0.5457878670438504,5.888824795954861
2026-02-26 17:54:19,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,3.0,1.0,0.3,0.85,0.1,0.3043289052464451,2.2,62.3,12.459999999999987,0.45947851302761833,6.043328822008334
2026-02-26 17:54:26,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,5.0,1.0,0.3,0.65,0.2,0.2030635836741677,3.1,53.55,10.70999999999999,0.8064394995348708,5.917616802966222
2026-02-26 17:54:35,20,vla,True,True,1.5708,3,1.0,orca,move to the handbag at speed of 0.5 m/s,1.0,1.0,1.0,0.1,1.0,0.7,0.8,3.0,8.0,1.0,0.3,0.7,0.2,0.15021383902820493,5.45,47.0,9.399999999999995,0.8151884878835048,6.437429452023935
